     Running `target\debug\test.exe random ugly`
k,t
0,107.327331
5,111.471544
10,107.06103
15,103.907509
20,101.92095
25,101.406632
30,101.099628
35,100.535982
40,101.2176
45,104.148284
50,101.497009
55,100.967857
60,101.413186
65,98.478018
70,101.057199
75,98.852631
80,101.002352
85,101.170686
90,101.367307
95,105.959264
100,102.8975
105,103.020646
110,103.230376
115,103.846109
120,104.557738
125,107.609844
130,106.315251
135,113.840307
140,107.712983
145,105.925804
150,106.237982
155,107.565691
160,108.834067
165,110.531904
170,109.425999
175,112.200421
180,112.246989
185,112.859963
190,112.074515
195,112.759238
200,115.76719
205,117.992799
210,115.487092
215,119.313952
220,117.804802
225,118.873798
230,121.907277
235,121.225658
240,122.915562
245,121.060427
250,124.454377
255,126.032863
260,124.700326
265,125.291567
270,124.799671
275,128.502695
280,130.642067
285,129.603772
290,129.102561
295,128.405764
300,128.731741
