     Running `target\debug\test.exe 3 ugly`
k,t
0,324.01374
100,331.957563
200,315.259977
300,306.502421
400,305.033284
500,304.120895
600,292.127719
700,281.377049
800,277.860643
900,266.801932
1000,256.054022
1100,240.704151
1200,231.387776
1300,221.845807
1400,218.70091
1500,218.02895
1600,219.026541
1700,218.310082
1800,212.332467
1900,205.112001
2000,205.257914
2100,202.088871
2200,193.715242
2300,191.389253
2400,185.418537
2500,182.110478
2600,185.925266
2700,184.733124
2800,183.239151
2900,180.422645
3000,181.15842
3100,181.007333
3200,184.179136
3300,183.464747
3400,180.826925
3500,182.075639
3600,180.916266
3700,168.570899
3800,144.025731
3900,123.688247
4000,99.029935
4100,80.284734
4200,53.379773
4300,53.13417
4400,52.129678
4500,52.947207
4600,52.310087
4700,52.298013
4800,52.301808
4900,52.037232
5000,52.172108
5100,55.201791
5200,54.484298
5300,54.835801
5400,53.642279
5500,52.460484
5600,52.289734
5700,52.066898
5800,52.083801
5900,52.418056
6000,52.292839
6100,53.526031
6200,52.12209
6300,52.643307
6400,52.706088
6500,51.856824
6600,52.036543
6700,52.08794
6800,52.001702
6900,41.275869
7000,1.576071
