     Running `target\debug\test.exe 2 ugly`
k,t
0,342.457801
100,304.004992
200,89.445536
300,31.876017
400,30.362037
500,51.573277
600,51.64813
700,72.042186
800,73.586866
900,89.335498
1000,92.630793
1100,91.929167
1200,105.270747
1300,106.657095
1400,144.73253
1500,144.161985
1600,154.575295
1700,153.937141
1800,168.665759
1900,171.722694
2000,172.756505
2100,192.865978
2200,195.181964
2300,200.01159
2400,197.397224
2500,233.080785
2600,227.680959
2700,246.312671
2800,249.31062
2900,260.265155
3000,259.205473
3100,262.578381
3200,292.741038
3300,286.217713
3400,288.131833
3500,291.765178
3600,323.161372
3700,323.774346
3800,369.599053
3900,367.467269
4000,367.678378
4100,387.519481
4200,378.740192
4300,409.042209
4400,409.989093
4500,411.267472
4600,411.125008
4700,459.956634
4800,493.01548
4900,488.534251
5000,543.41317
