     Running `target\debug\test.exe 3 ugly`
k,t
0,175.812406
100,174.033505
200,172.977273
300,181.775878
400,168.954136
500,165.40082
600,157.444578
700,154.546665
800,152.115122
900,150.491793
1000,140.217153
1100,128.862821
1200,129.543405
1300,123.365029
1400,123.002143
1500,118.427434
1600,116.252533
1700,108.632272
1800,105.779546
1900,100.683274
2000,90.792906
2100,83.916009
2200,77.379921
2300,76.329898
2400,77.609312
2500,77.745912
2600,77.437873
2700,77.508587
2800,77.048426
2900,78.220217
3000,76.529278
3100,79.524123
3200,79.460307
3300,68.32088
3400,56.844092
3500,43.574262
3600,36.241688
3700,35.159239
3800,34.922949
3900,34.772896
4000,36.183391
4100,34.863272
4200,34.880521
4300,34.917774
4400,34.901217
4500,35.120259
4600,34.903977
4700,35.905708
4800,35.207186
4900,35.544891
5000,34.959514
5100,34.701837
5200,34.913635
5300,34.740126
5400,36.141307
5500,36.135788
5600,34.892938
5700,35.161999
5800,34.802217
5900,36.245827
6000,34.803597
6100,35.88846
6200,35.018845
6300,36.434514
6400,35.386215
6500,34.936057
6600,34.751164
6700,35.366898
6800,35.411396
6900,34.683209
7000,1.517085
