     Running `target\debug\test.exe random ugly`
k,t
0,107.306633
5,110.999655
10,106.720911
15,102.790911
20,104.514619
25,105.716421
30,103.851973
35,103.323857
40,100.138945
45,100.488034
50,99.955778
55,99.112723
60,99.087197
65,103.090326
70,102.677423
75,100.987174
80,101.609807
85,104.361462
90,101.730883
95,103.414233
100,102.685012
105,102.294875
110,107.254547
115,105.668818
120,105.234527
125,105.232802
130,109.260423
135,104.964087
140,108.57846
145,108.090357
150,108.096566
155,109.352869
160,111.459471
165,112.983455
170,111.918942
175,110.65919
180,111.217316
185,114.007262
190,114.997609
195,116.727182
200,115.441903
205,115.947943
210,118.381211
215,115.993131
220,117.45192
225,121.889684
230,119.775838
235,119.504364
240,121.887269
245,122.52163
250,121.361568
255,122.238083
260,128.061161
265,127.734495
270,125.322268
275,126.339867
280,126.938697
285,127.180162
290,129.076689
295,131.76384
300,130.967698
