     Running `target\debug\test.exe 2 ugly`
k,t
0,343.038005
100,302.311984
200,92.87743
300,33.409314
400,32.775988
500,51.538091
600,53.486362
700,70.948698
800,71.770366
900,86.101259
1000,85.595219
1100,87.621793
1200,107.677454
1300,111.208003
1400,131.233309
1500,129.228812
1600,146.332057
1700,151.259994
1800,171.58851
1900,168.832715
2000,170.27322
2100,181.356766
2200,180.481976
2300,211.206555
2400,209.991991
2500,221.542252
2600,220.892369
2700,265.67119
2800,264.993367
2900,272.302139
3000,271.829559
3100,273.276274
3200,285.3343
3300,285.658897
3400,336.357384
3500,339.749264
3600,342.520927
3700,341.52299
3800,348.11151
3900,350.421631
4000,348.062872
4100,357.631059
4200,353.312301
4300,399.28706
4400,397.203915
4500,394.992449
4600,395.571273
4700,446.206634
4800,447.864112
4900,450.934846
5000,484.655648
