     Running `target\debug\test.exe 3 ugly`
k,t
0,238.382991
100,238.529939
200,257.294803
300,233.816561
400,223.702666
500,215.954773
600,220.013439
700,216.350085
800,209.328999
900,206.311043
1000,201.988147
1100,202.628026
1200,198.351352
1300,196.95569
1400,202.205118
1500,195.120218
1600,198.890162
1700,198.914308
1800,200.272717
1900,197.146791
2000,191.971526
2100,183.0446
2200,169.657832
2300,155.840223
2400,138.748016
2500,122.832428
2600,103.406299
2700,85.675938
2800,68.867623
2900,56.441537
3000,59.719239
3100,56.82512
3200,56.874447
3300,57.505704
3400,57.109013
3500,58.263211
3600,58.618853
3700,56.89066
3800,58.74062
3900,61.865165
4000,56.323564
4100,56.743713
4200,55.890999
4300,57.425675
4400,55.88617
4500,56.006901
4600,55.755779
4700,58.63886
4800,57.988977
4900,56.067958
5000,56.026563
5100,56.622635
5200,57.276313
5300,56.311491
5400,56.423599
5500,59.04038
5600,56.769928
5700,55.830288
5800,55.894104
5900,56.75751
6000,56.268373
6100,55.663333
6200,56.665409
6300,57.235954
6400,57.835474
6500,58.667835
6600,56.858925
6700,56.799249
6800,56.655405
6900,40.809843
7000,1.559857
