     Running `target\debug\test.exe random ugly`
k,t
0,109.941006
5,111.002759
10,108.696432
15,106.725395
20,103.252797
25,103.688467
30,106.064474
35,101.91957
40,100.193103
45,101.253475
50,99.639805
55,100.230702
60,99.854363
65,101.62326
70,103.114473
75,104.553943
80,104.360082
85,103.967876
90,101.41905
95,101.944061
100,104.421483
105,107.762656
110,103.963391
115,107.011702
120,106.266614
125,105.646741
130,105.48427
135,106.341467
140,108.255587
145,110.89824
150,113.183869
155,109.297678
160,112.437055
165,112.092107
170,112.769931
175,112.775105
180,113.557794
185,114.548486
190,116.612659
195,119.787566
200,117.195967
205,117.981415
210,118.909327
215,119.752038
220,121.469536
225,121.304996
230,122.054915
235,122.815181
240,123.138053
245,122.006967
250,123.302249
255,127.715522
260,126.719655
265,127.437149
270,128.158437
275,131.884572
280,126.62169
285,131.651042
290,129.874211
295,136.399605
300,131.486156
