     Running `target\debug\test.exe 2 ugly`
k,t
0,345.268787
100,303.31268
200,92.543866
300,32.532799
400,31.860839
500,48.877158
600,51.730229
700,70.301575
800,70.733796
900,84.359613
1000,84.9512
1100,85.854965
1200,112.097281
1300,110.393924
1400,140.930851
1500,141.400326
1600,158.401466
1700,154.456978
1800,175.207711
1900,172.306693
2000,173.90346
2100,198.973639
2200,203.058867
2300,204.273431
2400,205.808108
2500,213.439408
2600,213.380766
2700,250.804938
2800,247.889431
2900,282.363948
3000,284.938299
3100,280.638859
3200,313.549377
3300,315.489714
3400,340.468482
3500,355.479268
3600,345.888316
3700,348.70965
3800,396.816883
3900,390.678521
4000,379.62809
4100,387.92583
4200,387.260079
4300,396.650962
4400,404.479918
4500,420.265113
4600,419.413091
4700,453.477807
4800,455.422973
4900,447.957938
5000,451.907945
